id_orgao_cluster;tipo_justica;Atuacao_Vara;Cluster_Novo;Desc_Cluster;Porte_Municipio;Porte_Tribunal;Classificacao_Acervo_2;Classificacao_PIB_per_capita;codtribunal;cod_orgao_julg;Classificacao_cluster;Desc_Cluster_com_duracao
219;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;6663;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 126 dias
220;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;6672;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1003 dias
221;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;6674;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1125 dias
222;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;6681;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 880 dias
223;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;43157;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 332 dias
224;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;43158;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 524 dias
225;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJDFT;43159;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 142 dias
226;Estadual;Civel;Cluster 4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita;Pequeno_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJES;2495;3;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 142 dias
227;Estadual;Civel;Cluster 4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita;Pequeno_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJES;453;3;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 148 dias
228;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJES;2474;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 171 dias
229;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11401;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1270 dias
230;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;11403;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1288 dias
231;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11413;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1086 dias
232;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11415;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1280 dias
233;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11448;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 398 dias
234;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11472;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 225 dias
235;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11474;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 283 dias
236;Estadual;Civel;Cluster 8;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;MÉDIO;Acervo Médio;Municipio com médio PIB per capita;TJGO;11481;7;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 271 dias
237;Estadual;Civel;Cluster 4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita;Pequeno_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJGO;11507;3;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 763 dias
238;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11576;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 265 dias
239;Estadual;Civel;Cluster 5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita;Medio_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;13307;4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 388 dias
240;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;13308;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1005 dias
241;Estadual;Civel;Cluster 5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita;Medio_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;13578;4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 246 dias
242;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;13838;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1231 dias
243;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;13839;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1369 dias
244;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;16429;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1036 dias
245;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;16431;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 889 dias
246;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;78732;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 2381 dias
247;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;78737;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1220 dias
248;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;78739;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1308 dias
249;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;78742;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1132 dias
250;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJGO;78743;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1357 dias
251;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;78745;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1055 dias
252;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;78747;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1200 dias
253;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;78748;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1175 dias
254;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;79346;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 252 dias
255;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJGO;11485;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 118 dias
256;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;2852;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 789 dias
257;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;2868;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 1176 dias
258;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;19939;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 158 dias
259;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;19942;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 148 dias
260;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;19943;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 155 dias
261;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;19944;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 148 dias
262;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;19945;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 154 dias
263;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;19946;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 153 dias
264;Estadual;Civel;Cluster 2;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMA;77702;1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 146 dias
265;Estadual;Civel;Cluster 7;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;GRANDE;Acervo Grande;Municipio com alto PIB per capita;TJMG;11228;6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 126 dias
266;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;11652;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 119 dias
267;Estadual;Civel;Cluster 4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita;Pequeno_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJMG;3753;3;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de pequeno porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 2173 dias
268;Estadual;Civel;Cluster 7;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;GRANDE;Acervo Grande;Municipio com alto PIB per capita;TJMG;3799;6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 2091 dias
269;Estadual;Civel;Cluster 7;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;GRANDE;Acervo Grande;Municipio com alto PIB per capita;TJMG;3852;6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 121 dias
270;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;3859;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 120 dias
271;Estadual;Civel;Cluster 7;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;GRANDE;Acervo Grande;Municipio com alto PIB per capita;TJMG;3943;6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 124 dias
272;Estadual;Civel;Cluster 5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita;Medio_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMG;3991;4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 124 dias
273;Estadual;Civel;Cluster 5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita;Medio_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMG;4001;4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 118 dias
274;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJMG;4025;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 118 dias
275;Estadual;Civel;Cluster 8;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;MÉDIO;Acervo Médio;Municipio com médio PIB per capita;TJMG;40326;7;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 1244 dias
276;Estadual;Civel;Cluster 8;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;MÉDIO;Acervo Médio;Municipio com médio PIB per capita;TJMG;4065;7;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 119 dias
277;Estadual;Civel;Cluster 5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita;Medio_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMG;4080;4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 128 dias
278;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;4103;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 127 dias
279;Estadual;Civel;Cluster 5;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita;Medio_Porte;MÉDIO;Acervo Grande;Municipio com alto PIB per capita;TJMG;4292;4;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte médio em municípios de medio porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 115 dias
280;Estadual;Civel;Cluster 7;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;GRANDE;Acervo Grande;Municipio com alto PIB per capita;TJMG;4297;6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 121 dias
281;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;4303;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 126 dias
282;Estadual;Civel;Cluster 8;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;MÉDIO;Acervo Médio;Municipio com médio PIB per capita;TJMG;5363;7;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 127 dias
283;Estadual;Civel;Cluster 7;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;GRANDE;Acervo Grande;Municipio com alto PIB per capita;TJMG;5736;6;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte grande em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 121 dias
284;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;6188;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 132 dias
285;Estadual;Civel;Cluster 1;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita;Medio_Porte;PEQUENO;Acervo Grande;Municipio com médio PIB per capita;TJMG;81130;0;Cluster majoritariamente composto por varas de acervo grande em tribunais de porte pequeno em municípios de medio porte e Municipio com médio PIB per capita - a duração média dos processos das varas desse cluster é de 117 dias
286;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;10793;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 2104 dias
287;Estadual;Civel;Cluster 3;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita;Grande_Porte;MÉDIO;Acervo Médio;Municipio com alto PIB per capita;TJMG;10798;2;Cluster majoritariamente composto por varas de acervo médio em tribunais de porte médio em municípios de grande porte e Municipio com alto PIB per capita - a duração média dos processos das varas desse cluster é de 121 dias
