cod_orgao_julg;Median(numero_dias);Count*(npu)
16567;2204;6
16568;142;13
16571;122;9
16572;1884;8
16573;2304;15
16574;168;1
16575;1935;1
16576;159;3
16577;154;4
16578;126;16
16579;153;5
16580;128;23
16581;169;1
16582;133;9
16583;2141;4
16584;1953;8
16585;154;6
16586;2496;1
16587;293;3
16590;2127;24
16592;153;7
16594;178;4
16634;132;6
16636;150;6
16640;146;6
16644;139;2
16645;115;1
16653;120;2
16655;115;4
16664;147;2
16665;163;34
16666;115;2
16668;120;2
1667;142;23
16674;155;2
16676;124;2
16677;129;2
16681;118;4
16686;165;6
16814;141;61
16815;147;92
16816;149;110
16817;1535;129
16818;1921;110
16819;1996;94
16823;130;12
16825;126;2
16826;151;6
1683;132;3
16831;151;6
16833;150;2
16836;1950;37
16837;140;110
16840;140;1
16844;131;14
16845;152;6
16847;124;26
16848;135;10
16855;123;1
16858;146;7
16859;121;4
16868;1982;293
16869;134;19
16870;124;8
16872;144;10
16873;122;4
16875;123;8
16876;158;2
16880;176;1
16881;136;10
16884;2035;11
16887;120;2
16894;125;18
16897;140;12
1690;146;3
16902;130;2
16910;125;2
16913;2513;5
16914;1985;112
16924;164;3
16925;125;16
16926;124;6
16928;119;6
16929;148;5
16931;974;1
16934;132;12
16935;131;27
16937;180;4
16939;144;10
16941;225;2
16946;2381;1
16947;126;1
16954;2582;2
16956;151;1
16957;185;2
16992;2598;3
16993;1582;1
17004;117;2
17005;120;2
17006;116;2
17007;120;8
17008;115;3
17012;126;3
17014;120;4
17021;118;2
17022;1714;4
17023;1947;1
17024;1836;23
17025;1902;12
17026;2063;65
17027;2034;14
17028;1952;10
17030;1777;11
17031;1882;6
17033;2080;24
17034;129;7
17035;125;6
17036;120;2
17037;2038;29
17038;1881;8
17040;127;5
17042;2146;57
17043;1921;42
17044;2159;15
17045;2053;31
17047;2348;37
17048;2125;23
17049;259;182
17050;337;74
17051;175;3
17052;1078;64
17053;132;50
17054;318;193
17056;125;3
1706;133;16
17071;139;5
17072;139;1
17073;153;3
17087;132;1
17092;149;3
17094;134;5
17096;127;2
17100;133;1
17101;119;1
17107;1327;1
17110;117;1
17112;120;1
17113;120;1
17122;154;2
17125;135;1
17129;131;3
17130;130;6
17153;130;1
17161;2599;1
17163;193;2
17164;381;1
17166;1686;1
17171;148;3
17176;1953;1
17178;1869;3
17180;127;2
17185;140;2
17186;236;1
17189;2479;1
17191;133;2
17201;2011;8
1721;126;4
17219;134;2
17237;2422;1
17268;136;4
17269;148;1
17270;140;1
17283;127;1
17286;2329;3
17289;2001;1
17296;125;1
1733;126;2
17347;2515;1
17352;2148;3
17355;135;1
17356;2038;122
17358;126;1
17359;168;1
17360;155;1
17361;2334;2
17362;154;2
17364;1595;35
17365;126;1
17367;2416;1
17369;119;15
17371;2369;13
17372;2205;2
17374;2371;9
17377;2455;1
17380;2266;7
17384;128;3
17385;126;2
17388;128;2
17389;122;1
17390;126;1
17391;128;1
17392;130;1
17396;2108;1
17397;124;2
17407;122;1
17411;116;1
17412;832;5
17415;126;2
17416;369;16
17419;682;18
17428;121;1
1744;156;3
17460;168;5
17461;160;4
17466;1890;85
17469;142;3
1747;195;1
17471;139;2
17473;146;4
17474;151;1
17476;118;2
1748;161;1
17487;134;4
17490;2370;1
17505;126;3
17506;161;3
17510;156;3
17527;119;1
17528;120;4
17529;136;8
17530;124;4
17575;119;2
17588;895;1
1764;156;1
17756;1898;38
17758;1985;57
17760;1949;45
17761;1821;11
17762;2012;39
17763;2228;30
17764;2103;14
17766;121;8
17767;2224;11
17768;2163;17
17769;1828;2
17782;128;2
17783;145;1
17784;380;14
17785;1009;5
17786;139;6
17787;842;5
17788;190;5
17789;160;2
17791;161;1
17792;131;31
17793;116;1
17794;145;3
17795;199;13
17796;473;17
17797;158;5
17798;145;2
17799;169;3
17800;168;1
17803;169;5
17804;149;4
17806;179;6
17807;1060;1
17808;208;4
17809;1784;5
17810;1965;5
17811;166;6
17812;115;2
17814;187;11
17816;153;1
17817;167;3
17818;129;2
17819;166;9
17820;155;6
17821;159;4
17822;159;6
17836;145;2
17837;1581;96
17841;121;4
17847;174;2
17848;2201;3
17849;2535;1
17850;2492;2
17851;124;7
17853;153;1
17854;146;1
17867;128;1
17872;121;2
17873;117;4
17876;1717;11
17879;2568;1
17884;118;6
17888;119;2
17903;121;2
17904;123;3
17906;150;2
17907;143;3
17910;128;3
17927;1179;35
17933;1918;13
17941;617;2
17942;365;4
17943;386;14
17950;2448;5
17970;742;137
17979;144;2
1798;167;6
17981;2309;18
17982;2317;8
17983;133;1
17984;148;4
17995;115;1
17996;128;3
18000;1971;28
18001;2486;11
18002;127;25
18003;2164;16
18004;1967;6
18006;124;1
18007;2235;1
18009;2169;3
18011;2118;4
18014;2294;1
18015;127;1
18016;2102;5
18017;2133;4
18018;2290;5
18019;2192;2
18021;118;1
18022;115;1
18023;121;2
18024;117;1
18027;126;1
18029;134;1
18030;2206;8
18031;2226;6
18032;2142;7
18033;2182;2
18034;2191;2
18037;124;1
18039;125;1
18040;2116;4
18041;2181;4
18042;135;4
18043;2265;3
18044;2211;2
18045;122;2
18046;2202;9
18047;2220;3
18050;2533;1
18051;2239;4
18052;2348;5
18054;2374;4
18055;2268;7
18056;124;1
18058;2219;2
18059;2238;2
18060;126;1
18061;2238;4
18065;2264;3
18066;2248;3
18067;2228;4
18068;119;1
18069;2284;3
18072;2197;3
18073;117;2
18074;2200;7
18075;2305;4
18076;2256;5
18077;2251;6
18080;146;1
18081;2450;15
18085;158;4
18087;127;2
18090;116;2
18100;2193;9
18101;2280;6
18120;150;1
18121;136;3
18123;126;7
18124;125;15
18125;119;1
18130;2109;47
18132;1859;180
18143;1962;19
18144;2051;18
18145;2193;3
18146;2016;23
18147;2246;7
18148;1645;12
18149;2020;29
18152;2079;195
18153;1918;6
18154;1684;36
18155;2057;53
18156;2108;66
18157;1800;75
18158;2304;71
18159;2020;62
18160;2114;32
18161;1687;20
18162;1910;4
18163;1928;27
18164;2292;13
18165;1974;11
18166;2164;18
18169;2242;8
18171;2197;5
18173;1920;76
18174;1974;8
18175;1918;16
18176;2083;8
18177;2148;24
18179;2010;64
18182;143;1
18196;2196;20
18202;2148;10
18205;1934;13
1821;142;9
18211;146;1
18213;151;1
18216;126;1
18224;128;4
18226;127;2
18227;121;2
18228;129;1
18229;115;1
18235;125;1
1824;159;5
18242;124;1
18243;127;1
18244;125;4
18245;120;1
18255;1886;10
18260;132;14
18275;167;5
18291;121;2
18293;166;1
18299;2107;2
18304;135;1
18315;132;3
18344;2231;23
18345;2296;10
18352;157;4
18353;1837;2
18354;161;1
18359;2038;1
18360;1223;11
18362;133;1
18368;124;1
18370;1912;47
18375;2447;1
18392;2566;3
18398;139;4
18399;138;1
18400;133;5
18401;2423;11
18407;2424;5
18408;2439;109
18412;1920;76
18422;147;8
18432;127;3
18544;131;1
18553;120;2
18554;2121;189
18556;132;7
18567;690;29
18568;1025;69
18569;552;53
18570;825;62
18571;988;87
18572;1274;72
18573;446;22
18574;239;40
18575;432;60
18576;1677;100
18577;1013;77
18578;1788;129
18579;1905;261
18580;1888;57
18581;1819;37
18590;1142;14
18593;440;16
18687;131;3
18690;122;6
18691;122;2
18692;176;9
18693;131;11
18694;136;9
18695;125;10
18698;158;1
18701;162;1
18702;164;2
18703;138;3
18707;122;5
18708;125;15
18711;169;1
18712;131;5
18714;133;10
18715;164;4
18717;126;2
18719;129;2
18721;176;2
18723;126;8
18725;408;1
18726;176;3
18727;660;2
18728;539;3
18730;154;8
18731;183;1
18733;137;3
18736;130;4
18737;134;1
18738;132;9
18740;132;2
18751;147;15
18760;115;4
18780;1174;27
18781;1860;24
18782;1891;25
18783;695;32
18784;1891;26
18785;1916;26
18786;1250;28
18787;1861;31
18788;1861;14
18789;1772;37
18790;1351;53
18791;1968;116
18792;1094;20
18793;1777;22
18794;1806;6
18795;600;14
18796;1096;18
18797;1071;78
18798;2060;22
18799;994;66
18800;1902;20
18801;1364;26
18802;1602;16
18803;2035;6
18804;1716;23
18805;2001;43
18806;2134;48
18807;1829;36
18808;1864;22
18809;593;18
18810;1711;19
18811;1809;52
18812;1509;14
18813;1946;30
18814;500;133
18815;1320;11
18816;1977;61
18817;1857;28
18818;1559;13
18819;1554;21
18820;1787;58
18821;1699;30
18822;1694;9
18823;2050;31
18824;1996;50
18825;1753;41
18826;743;21
18827;2014;71
18828;650;10
18829;1808;65
18830;1240;16
18831;1827;36
18832;1548;17
18833;1831;35
18834;2044;11
18835;1472;8
18836;1915;23
18837;1863;53
18838;1495;20
18839;2063;39
18840;1238;22
18841;1918;23
18842;2015;12
18843;1418;8
18844;1757;47
18845;2073;19
18846;1812;43
18847;1790;9
18848;1305;33
18849;1755;23
18850;937;23
18851;1265;25
18852;1800;11
18853;1945;1
18854;1890;12
18855;135;14
18856;126;4
18857;1181;58
18858;1610;52
18859;963;50
18860;1612;27
18861;1487;42
18862;590;74
18863;1785;20
18864;1863;70
18865;1287;31
18866;1919;30
18867;1828;39
18868;1545;39
18869;1593;13
18870;1534;27
18871;755;46
18872;525;178
18873;1284;63
18874;2010;36
18875;1663;32
18876;1779;25
18877;1456;22
18878;708;34
18879;1995;26
18880;1673;73
18881;696;66
18882;134;16
18883;578;57
18884;132;42
18885;425;48
18886;1703;71
18887;126;62
18888;120;2
18889;1888;48
18890;1598;51
18891;1030;14
18892;1907;35
18893;1448;34
18894;405;43
18895;1764;18
18896;2006;41
18897;1075;74
18898;1805;36
18899;1795;65
18900;1810;40
18901;1526;6
18902;1604;28
18903;861;42
18904;427;194
18905;1741;105
18906;504;28
18907;1941;35
18908;1724;18
18909;1397;26
18910;695;24
18911;2149;45
18912;1660;43
18913;1118;51
18914;164;21
18915;118;4
18916;1800;69
18917;1476;22
18918;1142;34
18919;545;70
18920;1680;27
18921;1592;57
18922;1299;33
18923;1786;16
18924;1867;33
18925;1848;28
18926;164;15
18927;1575;31
18928;638;58
18929;791;36
18930;1781;51
18931;1807;19
18932;1233;28
18933;1846;43
18934;408;3
18935;1760;51
18936;1632;46
18937;797;61
18938;178;6
18939;441;63
18940;1651;47
18941;171;7
18942;1854;51
18943;154;24
18944;554;31
18945;137;11
18946;757;63
1909;154;1
19127;2300;10
19135;2204;8
19136;1820;2
19137;2221;17
19138;2031;10
19139;2103;5
19140;2331;16
19141;2188;17
19142;2314;16
19143;1904;21
19144;1907;22
19145;1756;3
19146;2101;13
19147;2262;11
19148;1890;18
19149;1271;50
19150;792;24
19151;2080;25
19152;2095;6
19153;2088;7
19154;1753;6
19155;1892;8
19156;2063;12
19157;2186;9
19158;2192;21
19159;2103;75
19160;1920;6
19161;1989;9
19162;2132;8
19163;1897;8
19164;2092;13
19165;1766;6
19166;2163;14
19167;1949;9
19168;1788;21
19169;2383;9
19170;2260;52
19171;1999;13
19172;2107;17
19173;1861;10
19174;1907;10
19175;2274;6
19176;2350;25
19178;2233;7
19180;1637;11
19181;186;17
19182;2209;2
19183;1935;28
19184;2411;42
19185;2300;18
19186;2371;16
19187;2209;25
19188;2290;15
19189;1915;16
19190;140;8
19191;1887;29
19192;1995;4
19193;590;11
19194;1441;10
19195;1757;3
19196;2212;12
19197;2083;69
19198;124;4
19199;1893;25
19200;2341;1
19201;130;1
19202;1890;2
19203;131;1
19205;132;1
19206;130;2
19207;127;3
19208;1989;6
19209;2554;1
19210;1659;1
19211;147;2
19212;2189;8
19214;2096;5
19215;582;15
19216;1736;3
19217;2055;4
19219;2040;31
19222;1993;12
19223;2104;23
19224;121;4
19225;1242;7
19226;118;2
19227;1233;11
19228;764;18
19229;2402;4
19230;2247;21
19231;1941;58
19232;116;2
19233;2214;32
19235;2039;3
19236;120;3
19239;139;4
19241;2278;1
19242;1989;1
19243;116;1
19245;1841;21
19246;159;6
19247;127;2
19248;2086;14
19249;2006;18
19250;1903;5
19251;1278;1
19252;915;3
19253;1785;29
19254;124;2
19255;139;3
19256;119;2
19257;141;3
19258;115;2
19259;133;1
19261;116;2
19262;139;1
19263;127;3
19264;133;2
19265;130;3
19266;1622;12
19267;1414;19
19268;116;1
19269;2036;21
19270;994;22
19271;128;4
19273;138;1
19275;128;2
19276;118;2
19278;149;1
19279;125;3
19280;145;1
19282;1457;18
19283;505;11
19284;2125;19
19285;397;1
19286;130;1
19287;527;10
19288;1271;9
19289;123;3
19290;122;2
19292;143;5
19295;503;11
19297;229;13
19298;659;16
19299;657;5
19301;142;15
19302;139;24
19303;151;11
19306;251;7
19307;154;11
19308;356;11
19309;129;11
19310;144;20
19313;773;9
19314;135;10
19315;135;6
19316;165;21
19317;705;15
19318;136;11
19320;147;13
19321;149;17
19322;688;7
19323;131;9
19324;122;13
19325;145;23
19326;154;6
19327;139;6
19328;759;10
19330;128;10
19332;342;9
19333;216;11
19334;570;10
19335;261;5
19336;224;8
19338;553;13
19339;140;14
19340;141;15
19341;402;8
19342;132;9
19343;353;20
19347;120;1
19385;1259;1
19393;2369;1
19409;2533;1
19412;720;1
19432;164;21
19434;2571;1
19438;167;14
19439;132;29
19440;161;11
19441;148;28
19442;134;11
19444;164;26
19445;140;20
19446;139;10
19448;389;17
19449;126;19
19450;127;15
19452;119;28
19457;2265;40
19473;2127;1
19489;2497;2
19492;327;74
19516;696;94
19518;269;41
19519;292;37
19520;399;48
19521;353;37
19522;276;32
19523;626;123
19524;942;250
19526;582;60
19527;377;84
19528;332;64
19529;405;62
19530;359;86
19531;314;71
19532;329;79
19533;278;65
19534;345;86
19536;401;31
19537;727;264
19539;1416;247
19541;568;241
19601;580;266
19602;697;108
19603;1418;82
19604;854;133
19605;1105;95
19606;1115;97
19607;370;49
19608;1344;69
19609;1829;116
19610;1611;23
19611;1797;275
19612;762;84
19613;1566;68
19614;1756;87
19615;1922;96
19616;1964;92
19617;836;44
19618;1900;86
19619;1676;28
19620;1602;142
19621;1578;185
19622;1802;34
19623;1497;30
19625;128;2
19626;118;2
19629;118;1
19630;126;2
197;134;2
1977;153;9
1978;144;5
198;138;15
1982;177;2
19939;154;10
19942;147;84
19943;156;80
19944;144;96
19945;148;13
19946;151;193
19947;140;27
19948;132;58
19949;131;45
19951;126;7
19952;121;1
19954;127;2
19955;117;2
19956;145;1
19958;461;8
19960;1793;4
19961;2199;2
19962;115;2
19963;830;6
19964;487;4
19965;515;4
19966;1991;1
19969;130;8
19971;125;1
19973;319;1
19974;1127;3
19975;834;4
19976;406;6
19977;896;3
19979;1118;1
19980;401;3
19981;615;5
19982;1469;1
19984;826;9
19985;1253;1
19986;2306;1
19987;1029;1
19988;2306;1
19989;1459;14
19990;483;2
19991;130;36
19992;413;1
19993;245;6
19994;454;4
19996;1218;1
19997;624;7
19998;331;4
19999;427;6
20000;740;3
20001;736;1
20002;192;2
20003;226;2
20004;116;2
20005;937;23
20007;198;3
20008;124;2
20009;182;1
20010;126;2
20013;462;3
20014;132;3
20015;398;3
20017;633;3
20018;799;1
20019;487;3
20020;763;2
20021;796;3
20022;831;3
20023;781;1
20024;122;1
20026;1505;3
20027;1422;1
20028;454;4
20029;781;1
20030;454;1
20032;539;2
20033;238;3
20034;468;3
20036;2582;1
20038;263;2
20039;1245;1
20040;1496;3
20042;131;3
20044;527;2
20045;594;5
20047;465;7
20048;542;3
20049;1126;2
20051;510;7
20054;513;1
20056;334;2
20061;1835;17
20062;2268;4
20063;587;3
20066;561;11
20067;2186;1
20070;581;7
20071;537;5
20072;390;1
20073;448;4
2013;120;2
20222;120;4
20223;176;3
20237;134;8
20260;134;4
20264;117;1
20265;851;1
20267;118;1
20268;116;2
20269;117;6
20273;119;3
20274;122;1
20279;121;6
20281;119;1
20282;122;6
20287;121;1
20288;119;5
20290;158;1
20291;119;3
20292;117;1
20296;120;5
20298;1940;48
20299;806;35
20300;1932;11
20301;1483;27
20302;1124;33
20303;1816;2
20305;1812;15
20306;2070;17
20307;2048;34
20308;1349;26
20309;1793;21
20310;1476;25
20311;1191;7
20312;1836;12
20313;1877;16
20314;732;12
20315;1387;17
20316;1563;41
20317;1874;50
20319;1939;11
20320;514;2
20321;1470;10
20322;180;4
20323;129;3
20324;1430;2
20325;977;6
20326;853;1
20327;470;6
20328;1778;14
20329;1472;9
20330;900;5
20331;820;8
20332;1350;4
20333;1292;2
20334;2053;16
20335;689;6
20336;2456;2
20337;1977;5
20338;1978;22
20339;2370;5
20340;1359;11
20341;2151;1
20342;2037;12
20343;2421;8
20344;1944;16
20345;2132;5
20346;2352;4
20347;1880;3
20349;1875;14
20350;1777;10
20351;2078;23
20352;1688;4
20353;1057;9
20354;122;1
20355;909;6
20356;121;2
20357;1557;5
20358;1114;1
20359;2174;2
20360;148;4
20361;1466;3
20362;1744;5
20363;630;9
20364;1135;2
20365;323;1
20366;131;10
20367;1666;3
20368;2210;24
20369;2115;12
20370;1866;23
20371;2136;17
20372;2068;10
20373;2025;38
20374;1240;8
20375;777;2
20376;1391;27
20377;902;8
20378;1854;15
20379;1291;14
20380;1225;5
20381;2213;11
20382;122;16
20383;2547;3
20384;1820;38
20385;1965;59
20386;807;40
20387;847;15
20388;1589;16
20389;1981;22
20390;1916;23
20391;1921;13
20392;1847;18
20393;2065;17
20394;1852;7
20395;2034;16
2041;156;9
20508;1138;65
20509;1094;71
20510;746;47
20511;626;190
20512;1071;170
20513;1382;138
20514;869;149
20515;562;158
20516;523;153
20517;564;224
20518;418;179
20519;473;192
20520;825;157
20521;538;213
20522;523;149
20523;489;150
20524;338;142
20525;556;138
20526;480;153
20527;677;165
20528;1178;133
20529;973;232
20530;504;130
20531;416;121
20532;356;69
20533;394;103
20534;410;24
20535;729;30
20536;977;94
20537;1428;76
20538;1468;96
20539;1462;168
20540;1616;150
20541;1500;149
20542;1607;100
20543;264;26
20544;205;27
20545;206;16
20546;574;31
20547;1271;159
20548;543;195
20549;345;43
20550;315;51
20551;1224;27
20552;1347;95
20553;2092;395
20554;1640;161
20555;339;17
20556;224;9
20557;942;121
20558;243;169
20559;1276;135
20560;1031;69
20561;1337;64
20562;135;232
20571;181;11
20572;190;12
20574;866;10
20575;185;14
20577;683;11
20578;260;9
20579;367;13
20581;486;9
20583;365;11
20584;133;21
20588;484;8
20589;157;23
20590;135;20
20591;473;7
20592;128;4
20593;392;16
20650;707;137
20651;743;111
20652;1157;128
20653;1393;130
20654;1595;171
20655;1631;103
20656;1753;139
20657;1464;162
20658;798;94
20659;936;95
20660;1651;132
20661;1681;129
20662;1089;201
20663;1229;99
20664;1559;100
20665;841;89
20666;1039;90
20667;1671;122
20668;894;291
20669;1434;112
20670;1425;98
20671;1429;123
20672;870;283
20673;1561;129
20674;1449;64
20675;1437;252
20676;773;49
20677;1106;253
20678;613;228
20679;503;151
20680;1889;33
20681;1942;54
20682;1781;68
20683;2173;44
20684;838;29
20685;687;46
20686;1041;259
20687;218;5
20688;579;10
20689;1284;171
20690;517;28
20691;1348;180
20692;1819;107
20693;818;26
20694;1631;129
20695;1826;115
20696;1553;177
20697;1576;119
20698;502;74
20699;280;48
20700;2148;17
20701;124;6
20702;1443;87
20703;885;159
20704;1452;206
20705;2089;131
20706;923;6
20707;1264;121
20708;791;229
20709;1717;18
20710;558;498
20711;682;358
20712;579;52
20713;1425;76
20714;815;3
20715;1370;227
20716;926;186
20717;387;65
20718;577;241
20719;614;206
20720;1729;127
20721;2072;13
20722;699;23
20744;1212;9
20747;501;4
20748;672;15
20750;474;6
20753;120;1
20754;434;14
20755;481;8
20756;340;12
20757;955;7
20758;140;10
20759;731;3
20763;123;21
20789;371;47
20790;604;50
20791;141;6
20792;673;55
20793;218;32
20794;462;80
20795;224;21
20796;122;1
20797;636;17
20812;444;154
20813;460;28
20814;195;258
20815;339;47
20816;227;115
20817;339;17
20818;379;85
20819;551;413
20820;169;23
20821;144;12
20822;210;230
20823;674;15
20824;253;27
20825;504;16
20826;986;561
20827;299;24
20828;281;158
20829;793;514
20830;411;74
20831;370;533
20832;507;399
20833;674;82
20834;543;56
20835;403;49
20836;321;45
20837;384;53
20838;765;98
20839;155;37
20840;160;23
2121;147;3
2129;149;2
2130;186;1
2135;135;3
2141;155;4
2146;161;1
2147;149;2
2149;121;1
2150;140;1
2153;156;4
2155;300;1
2158;155;2
2159;124;1
21627;271;2
21632;362;2
21636;1273;1
21637;371;1
21638;403;3
21648;478;1
21650;330;1
21651;280;2
21652;287;2
21655;595;1
21656;247;2
21658;449;1
21670;2232;59
21671;2184;40
21672;2028;100
21673;2004;13
21674;1998;14
21675;2064;80
21676;2071;16
21677;132;2
21678;2318;22
21679;2072;17
2168;143;4
21680;2176;11
21681;2048;12
21682;2137;11
21683;2002;20
21684;2102;29
21685;1974;79
21686;2252;83
21687;1903;5
21688;2040;21
21689;2251;14
21690;2095;36
21691;2008;29
21692;2193;61
21693;2216;18
21694;2061;15
21695;2334;12
21696;1950;14
21697;2015;72
21698;1969;30
21699;2058;4
21700;1827;12
21701;1986;56
21702;2008;41
21703;1808;4
21704;1994;7
21705;2144;22
21706;1926;166
21707;2105;50
21708;1991;9
21709;2176;86
21711;2059;879
21715;2002;55
2174;128;8
21759;142;1
2176;160;1
21898;139;7
21899;1372;13
21900;1136;15
21901;138;9
21902;126;2
21903;134;17
21904;1368;11
21905;130;5
21906;150;9
21907;139;8
21908;1735;4
21909;1534;12
21910;134;1
21911;124;1
21912;1145;22
21913;149;7
21914;141;7
21916;135;4
22230;440;45
22231;481;43
22232;548;50
22233;160;30
22234;178;23
22235;157;24
22237;179;20
22239;493;37
22246;283;33
22247;502;90
22248;720;97
22249;439;103
22250;406;119
22251;412;102
22252;290;144
22253;374;95
22254;505;118
22255;333;129
22256;291;78
22257;412;91
22258;331;74
22259;376;69
22260;382;35
22261;411;41
22262;330;63
22263;423;72
22264;343;60
22265;251;117
22266;651;29
22267;279;21
22268;346;105
22269;455;28
22274;1577;180
22275;1084;75
22276;1385;65
22277;878;42
22278;724;66
22279;957;61
22280;1001;39
22281;1301;46
22282;278;31
22283;1050;70
22284;779;40
22285;1783;253
22286;2006;427
22287;1941;353
22288;756;55
22289;2030;309
22290;895;20
22291;1988;69
22292;1376;77
22293;1803;120
22294;1957;25
22295;1685;72
22296;1486;17
22297;1636;14
22298;1329;26
22299;1540;33
22300;852;33
22301;918;29
22302;940;44
22303;152;3
22304;1357;30
22305;820;36
22306;1061;51
22310;163;19
22313;1446;9
22314;781;13
22315;943;10
22316;1783;7
22318;1302;12
22319;662;2
22851;195;7
23032;2478;42
23034;2495;16
23036;2485;47
23037;134;3
23043;150;1
23044;2477;59
23050;2467;39
23052;2471;75
23053;2470;64
23054;133;1
23055;2463;22
23057;163;4
23058;2467;53
23059;2458;1
23061;147;1
23062;132;1
23070;167;9
23077;2471;73
23079;2478;62
23080;125;2
23081;133;2
23082;2501;75
23087;2495;62
23088;2471;61
23111;128;2
23114;1658;7
23115;115;1
23116;1762;3
23117;126;1
2334;163;4
2338;144;6
2363;127;9
2461;133;8
2462;154;4
2463;134;7
2464;160;14
2466;145;2
2468;120;6
2469;133;3
2470;153;7
2471;142;10
2472;131;2
2474;166;3
2478;148;1
2480;149;13
2494;123;2
2495;142;1
2505;147;3
2519;148;1
2524;147;1
2528;154;5
2534;146;9
2535;160;5
2537;144;9
255;511;1
26460;133;3
26621;115;2
27092;2186;13
27104;135;1
27115;1940;50
27118;124;7
27124;2483;19
27125;1492;1
27128;1497;9
27129;115;4
27132;147;4
27134;1447;56
27138;2470;3
27139;1990;6
27143;1717;97
27144;2187;3
27145;1985;26
27146;2256;1
27148;1597;3
27149;1652;22
27151;1520;1
27152;132;8
27154;2049;1
27155;2158;18
27158;1856;1
27160;1460;2
27161;1393;13
27164;1663;2
27165;1585;28
27166;162;1
27167;127;6
27168;130;11
27170;2034;1
27171;1573;40
27173;1619;1
27175;2519;2
27176;1652;93
27177;1522;8
27178;172;2
27179;2136;2
27180;169;4
27181;1965;3
27182;1560;1
27183;167;4
27185;2182;46
27186;2282;1
27187;1417;29
27189;1798;48
27194;1760;1
27195;145;8
27197;128;6
27199;1592;9
27203;1902;5
27208;2065;2
27211;2404;5
27213;1591;2
27214;1914;1
27215;1654;42
27218;176;5
27219;1845;11
27220;2016;1
27221;1609;13
27223;123;3
27225;1876;5
27226;1569;7
27228;1621;62
27231;1906;1
27234;1568;1
27235;1662;4
27236;2583;24
27237;2026;29
27246;1800;3
27248;1445;2
27249;2396;4
27250;138;2
27251;1338;2
27254;2026;1
27255;2566;1
27256;180;4
27258;165;5
27267;2531;13
27268;2564;1
27269;2024;1
27270;2415;65
27271;1556;1
27280;127;2
27284;1652;4
27285;176;5
27286;137;10
27287;1818;1
27292;1988;1
27294;2462;32
27295;1458;7
27296;1496;2
27297;1381;11
27298;230;8
27299;1621;14
27301;146;4
27302;1736;13
27303;2289;2
27358;122;2
27622;116;2
27626;132;1
27627;857;1
27628;719;82
27629;370;65
2763;1764;631
27630;1147;57
27631;1138;71
27632;1987;66
27633;1483;66
27634;1797;61
27635;1589;85
27636;1110;183
27637;1735;64
27638;1116;88
27639;214;159
2764;1872;1382
27640;1472;139
27641;259;83
27642;1921;98
27643;2172;150
27644;1712;75
27645;1897;81
27646;190;49
27647;367;32
27648;1513;57
27649;302;20
2765;1711;647
27656;495;42
27657;271;50
27658;316;34
27659;242;16
2766;1842;971
27660;562;77
27661;519;426
27662;571;1092
27663;171;29
2767;1897;1072
27672;137;5
27673;149;23
27674;162;13
27675;344;12
27676;148;11
27677;137;12
27678;138;4
27679;748;13
2768;1895;1261
27683;176;8
27684;410;16
27685;135;24
27686;134;8
27687;494;20
27688;169;24
2769;1713;428
2770;1903;1839
2774;135;1
2775;127;3
2776;1807;501
27762;985;14
27763;868;33
27764;801;77
27765;1080;39
27766;749;46
27767;896;170
27768;402;133
27769;1134;69
2777;1578;441
27770;949;84
27771;873;84
27772;1145;28
27773;792;62
27774;791;79
27775;1040;158
27776;898;55
27777;868;50
27778;728;40
27779;886;195
2778;1600;447
27780;987;117
27781;690;119
27782;1012;121
27785;622;2
27787;766;7
2779;1679;332
27796;665;1
2780;1523;94
27800;1212;1
27801;1442;19
27805;855;71
2781;1048;69
2782;1606;117
27821;1008;1
27825;386;3
27826;749;1
2783;140;5
27830;166;2
27836;123;28
2784;1210;63
27842;136;38
27843;125;24
27844;125;28
27845;2079;20
27846;141;19
27847;133;36
27848;120;26
27849;124;9
2785;1105;23
27850;126;24
27851;129;22
2792;2085;108
2793;149;3
2795;126;4
2796;133;2
2798;2493;1
2799;2042;3
2801;2038;2
2803;146;2
2805;1891;1
2808;120;3
2810;2496;1
2813;122;2
2817;1463;6
2819;133;15
28237;999;71
28238;563;130
28239;600;128
28240;562;115
28241;609;147
28242;559;125
28243;1224;12
2840;1724;1
2841;136;2
2844;140;4
2845;155;2
2847;147;1
2848;1638;1
2850;1673;3
2852;674;6
2853;145;2
2854;2181;1
2857;2133;14
2858;341;4
2863;149;3
2864;148;3
2866;2013;3
2868;971;20
2869;841;48
2871;142;3
2872;1050;17
2874;1748;3
28768;153;6
28769;133;4
2877;363;3
28770;154;3
28771;127;4
28774;2296;1
28775;132;3
28776;1587;1
28779;138;3
28786;149;17
28787;2207;1
28788;149;2
28789;116;4
2879;1295;25
28792;156;8
28796;142;36
28798;128;2
28801;120;2
28804;141;10
28805;1067;74
28807;150;5
2881;872;4
28810;133;4
28812;178;2
28816;115;4
28819;2565;10
2882;140;1
28823;151;9
28824;117;4
28826;1196;149
28827;2184;63
28828;139;14
28832;171;10
28835;136;6
28836;166;18
28837;136;38
28838;159;19
28839;153;22
2884;1928;24
28842;127;12
28843;131;5
28845;1882;1
28846;1633;4
28849;125;2
28850;2204;114
28852;1287;1
28854;130;5
28856;137;8
28857;117;4
28858;1914;1
28864;2387;122
28865;2192;5
28868;137;4
2887;152;1
28870;124;5
